plate_pair,plate,well,ecotype,site,seed_family,cold_stratification,water_potential,num_germinated_seeds,num_tz_category1,num_tz_category2,num_tz_category3,num_tz_category4
36,36_A,36_A_B,Semelparous,S3,S3_15,Cold stratified,-0.5,0,4,5,0,0
36,36_A,36_A_C,Iteroparous,I2,I2_16,Not cold stratified,0,10,0,0,0,0
36,36_A,36_A_D,Semelparous,S2,S2_5,Cold stratified,-1,0,5,3,0,0
36,36_B,36_B_A,Semelparous,S1,S1_10,Not cold stratified,0,2,0,0,0,6
36,36_B,36_B_D,Iteroparous,I3,I3_5,Cold stratified,-0.5,0,1,2,1,1
36,36_B,36_B_E,Iteroparous,I1,I1_18,Cold stratified,-0.5,2,7,0,0,1
37,37_A,37_A_B,Iteroparous,I1,I1_8,Not cold stratified,-0.5,9,2,0,0,0
37,37_B,37_B_A,Iteroparous,I2,I2_16,Cold stratified,-1,0,9,0,0,1
37,37_B,37_B_B,Semelparous,S2,S2_6,Cold stratified,-1,1,10,0,0,0
37,37_B,37_B_D,Semelparous,S3,S3_7,Cold stratified,-1,0,10,0,0,0
37,37_B,37_B_E,Semelparous,S1,S1_4,Cold stratified,-1,6,3,0,0,0
37,37_B,37_B_F,Iteroparous,I3,I3_14,Not cold stratified,-0.5,2,4,0,0,3
38,38_A,38_A_A,Semelparous,S1,S1_16,Cold stratified,-0.5,9,0,0,0,0
38,38_A,38_A_B,Semelparous,S3,S3_6,Not cold stratified,-0.5,2,10,0,0,0
38,38_A,38_A_C,Iteroparous,I3,I3_19,Not cold stratified,0,6,2,0,0,2
38,38_A,38_A_F,Iteroparous,I1,I1_19,Not cold stratified,0,9,0,0,1,0
38,38_B,38_B_A,Semelparous,S2,S2_8,Cold stratified,-1,1,7,0,2,0
38,38_B,38_B_D,Iteroparous,I2,I2_1,Not cold stratified,0,9,0,0,0,1
39,39_A,39_A_B,Iteroparous,I2,I2_10,Cold stratified,0,10,0,0,0,0
39,39_A,39_A_C,Semelparous,S1,S1_2,Not cold stratified,0,4,0,0,0,3
39,39_A,39_A_D,Semelparous,S2,S2_4,Not cold stratified,-1,0,10,0,0,0
39,39_A,39_A_F,Iteroparous,I3,I3_20,Cold stratified,-0.5,3,5,0,0,0
39,39_B,39_B_C,Iteroparous,I1,I1_2,Not cold stratified,-0.5,8,1,0,0,1
39,39_B,39_B_F,Semelparous,S3,S3_15,Cold stratified,0,10,0,0,0,0
3,3_A,3_A_B,Iteroparous,I3,I3_20,Not cold stratified,0,6,3,0,0,1
3,3_A,3_A_D,Semelparous,S2,S2_8,Not cold stratified,0,0,8,0,0,9
3,3_A,3_A_E,Iteroparous,I1,I1_19,Cold stratified,-1,0,9,0,0,1
3,3_B,3_B_C,Semelparous,S1,S1_15,Cold stratified,-1,0,6,0,0,1
3,3_B,3_B_D,Semelparous,S3,S3_2,Not cold stratified,-0.5,0,6,3,0,1
3,3_B,3_B_F,Iteroparous,I2,I2_5,Cold stratified,-0.5,9,1,0,0,0
40,40_A,40_A_D,Iteroparous,I1,I1_20,Cold stratified,-1,0,5,0,2,3
40,40_B,40_B_A,Semelparous,S1,S1_4,Not cold stratified,-0.5,7,2,0,0,0
40,40_B,40_B_B,Iteroparous,I3,I3_16,Cold stratified,-0.5,5,4,0,0,1
40,40_B,40_B_C,Semelparous,S2,S2_7,Not cold stratified,-0.5,0,8,0,2,0
40,40_B,40_B_D,Semelparous,S3,S3_16,Cold stratified,-1,0,2,2,5,0
40,40_B,40_B_E,Iteroparous,I2,I2_16,Cold stratified,-0.5,10,0,0,0,0
41,41_A,41_A_A,Semelparous,S3,S3_20,Cold stratified,-0.5,0,5,3,0,1
41,41_A,41_A_C,Semelparous,S1,S1_4,Not cold stratified,-1,1,8,0,0,0
41,41_B,41_B_A,Semelparous,S2,S2_4,Not cold stratified,0,1,9,0,0,0
41,41_B,41_B_B,Iteroparous,I3,I3_20,Not cold stratified,-1,0,8,0,0,2
41,41_B,41_B_E,Iteroparous,I2,I2_12,Not cold stratified,-0.5,9,0,0,0,1
41,41_B,41_B_F,Iteroparous,I1,I1_14,Cold stratified,0,7,0,0,0,3
42,42_A,42_A_B,Iteroparous,I1,I1_2,Cold stratified,0,10,0,0,0,0
42,42_A,42_A_D,Semelparous,S3,S3_14,Cold stratified,0,10,0,0,0,0
42,42_A,42_A_F,Semelparous,S1,S1_2,Not cold stratified,-0.5,7,0,0,1,2
42,42_B,42_B_A,Iteroparous,I3,I3_15,Not cold stratified,0,2,2,0,2,2
42,42_B,42_B_B,Semelparous,S2,S2_7,Cold stratified,-0.5,3,5,0,1,1
42,42_B,42_B_E,Iteroparous,I2,I2_13,Not cold stratified,-1,0,9,0,0,0
43,43_A,43_A_D,Iteroparous,I1,I1_18,Not cold stratified,-1,0,10,0,0,0
43,43_A,43_A_E,Semelparous,S1,S1_16,Cold stratified,-1,0,9,0,0,1
43,43_A,43_A_F,Semelparous,S2,S2_3,Cold stratified,0,10,0,0,0,0
43,43_B,43_B_A,Iteroparous,I3,I3_6,Not cold stratified,-1,5,5,0,0,0
43,43_B,43_B_C,Iteroparous,I2,I2_16,Not cold stratified,-0.5,0,1,0,0,0
43,43_B,43_B_D,Semelparous,S3,S3_4,Not cold stratified,0,0,8,2,0,0
44,44_A,44_A_A,Semelparous,S1,S1_15,Not cold stratified,-0.5,7,2,0,0,0
44,44_A,44_A_C,Iteroparous,I3,I3_5,Not cold stratified,-0.5,0,4,0,0,0
44,44_A,44_A_D,Semelparous,S3,S3_16,Cold stratified,-0.5,0,1,9,0,0
44,44_A,44_A_E,Semelparous,S2,S2_3,Not cold stratified,0,1,9,0,0,0
44,44_B,44_B_E,Iteroparous,I1,I1_6,Cold stratified,-0.5,8,1,0,0,0
44,44_B,44_B_F,Iteroparous,I2,I2_11,Not cold stratified,0,9,0,0,1,0
45,45_A,45_A_A,Semelparous,S3,S3_6,Cold stratified,0,7,2,0,0,0
45,45_A,45_A_C,Semelparous,S1,S1_16,Not cold stratified,0,10,0,0,0,0
45,45_A,45_A_D,Semelparous,S2,S2_9,Not cold stratified,-1,0,10,0,0,0
45,45_A,45_A_E,Iteroparous,I3,I3_16,Not cold stratified,0,8,2,0,0,0
45,45_B,45_B_A,Iteroparous,I2,I2_16,Cold stratified,0,11,0,0,0,0
45,45_B,45_B_B,Iteroparous,I1,I1_20,Not cold stratified,0,8,1,0,0,1
46,46_A,46_A_B,Semelparous,S1,S1_12,Cold stratified,-1,0,4,0,2,1
46,46_B,46_B_B,Iteroparous,I3,I3_16,Not cold stratified,-1,0,6,2,1,1
46,46_B,46_B_C,Iteroparous,I2,I2_13,Not cold stratified,-0.5,9,0,0,0,1
46,46_B,46_B_D,Iteroparous,I1,I1_12,Not cold stratified,-1,0,7,0,2,1
46,46_B,46_B_E,Semelparous,S2,S2_6,Not cold stratified,0,3,7,0,0,1
46,46_B,46_B_F,Semelparous,S3,S3_14,Not cold stratified,-0.5,0,8,1,0,0
47,47_A,47_A_B,Iteroparous,I2,I2_9,Cold stratified,0,10,0,0,0,0
47,47_A,47_A_F,Semelparous,S3,S3_13,Not cold stratified,-0.5,0,8,0,2,0
47,47_B,47_B_A,Iteroparous,I1,I1_20,Cold stratified,-0.5,2,6,0,0,1
47,47_B,47_B_D,Semelparous,S2,S2_1,Not cold stratified,-1,0,7,2,1,0
47,47_B,47_B_E,Semelparous,S1,S1_10,Cold stratified,0,7,0,0,0,3
47,47_B,47_B_F,Iteroparous,I3,I3_19,Cold stratified,-0.5,1,2,0,2,5
48,48_A,48_A_B,Semelparous,S3,S3_4,Not cold stratified,-1,0,8,2,0,0
48,48_A,48_A_C,Iteroparous,I3,I3_19,Not cold stratified,-0.5,2,5,0,2,1
48,48_A,48_A_D,Semelparous,S1,S1_11,Not cold stratified,-1,2,7,0,0,1
48,48_B,48_B_A,Iteroparous,I1,I1_8,Not cold stratified,0,9,0,0,0,0
48,48_B,48_B_B,Iteroparous,I2,I2_12,Cold stratified,-0.5,10,0,0,0,0
48,48_B,48_B_D,Semelparous,S2,S2_5,Cold stratified,-0.5,0,6,1,1,1
49,49_A,49_A_B,Semelparous,S1,S1_4,Not cold stratified,0,10,0,0,0,0
49,49_A,49_A_C,Iteroparous,I3,I3_20,Not cold stratified,-0.5,0,8,2,0,0
49,49_A,49_A_E,Iteroparous,I1,I1_19,Cold stratified,-0.5,9,1,0,0,0
49,49_A,49_A_F,Semelparous,S2,S2_1,Not cold stratified,-0.5,0,10,0,0,0
49,49_B,49_B_C,Semelparous,S3,S3_11,Not cold stratified,-1,0,3,7,0,0
49,49_B,49_B_F,Iteroparous,I2,I2_11,Not cold stratified,-1,0,9,0,0,1
4,4_A,4_A_A,Iteroparous,I3,I3_10,Cold stratified,-0.5,0,8,0,0,1
4,4_A,4_A_D,Semelparous,S2,S2_1,Cold stratified,0,8,0,0,1,0
4,4_A,4_A_F,Semelparous,S3,S3_20,Not cold stratified,-1,0,8,0,0,0
4,4_B,4_B_A,Semelparous,S1,S1_28,Cold stratified,-1,0,6,4,0,0
4,4_B,4_B_C,Iteroparous,I1,I1_14,Not cold stratified,0,10,0,0,0,0
4,4_B,4_B_D,Iteroparous,I2,I2_10,Cold stratified,-0.5,0,6,4,0,0
50,50_A,50_A_A,Iteroparous,I1,I1_8,Cold stratified,-1,0,2,0,0,7
50,50_A,50_A_C,Iteroparous,I2,I2_11,Not cold stratified,-0.5,5,0,0,0,4
50,50_B,50_B_A,Semelparous,S2,S2_2,Not cold stratified,-0.5,0,10,0,0,0
50,50_B,50_B_C,Semelparous,S3,S3_20,Not cold stratified,-0.5,6,3,0,1,0
50,50_B,50_B_D,Semelparous,S1,S1_28,Not cold stratified,-1,0,10,0,0,0
50,50_B,50_B_E,Iteroparous,I3,I3_14,Not cold stratified,0,4,0,0,0,5
51,51_A,51_A_A,Iteroparous,I2,I2_5,Cold stratified,-1,0,10,0,0,0
51,51_A,51_A_B,Semelparous,S1,S1_2,Not cold stratified,-1,0,6,0,1,3
51,51_A,51_A_D,Semelparous,S2,S2_3,Cold stratified,-0.5,4,3,1,1,0
51,51_A,51_A_E,Semelparous,S3,S3_6,Cold stratified,-0.5,0,5,0,3,0
51,51_B,51_B_A,Iteroparous,I1,I1_6,Not cold stratified,0,9,0,0,0,0
51,51_B,51_B_D,Iteroparous,I3,I3_15,Cold stratified,-0.5,0,1,5,0,3
52,52_A,52_A_E,Iteroparous,I1,I1_12,Not cold stratified,0,7,0,0,0,0
52,52_A,52_A_F,Semelparous,S1,S1_4,Cold stratified,-0.5,9,1,0,0,0
52,52_B,52_B_A,Iteroparous,I2,I2_4,Not cold stratified,0,10,0,0,0,0
52,52_B,52_B_B,Iteroparous,I3,I3_14,Cold stratified,-0.5,0,6,0,1,3
52,52_B,52_B_D,Semelparous,S3,S3_15,Not cold stratified,0,0,7,0,0,1
52,52_B,52_B_F,Semelparous,S2,S2_10,Not cold stratified,-0.5,0,8,0,0,1
53,53_A,53_A_A,Iteroparous,I2,I2_13,Cold stratified,-1,0,9,0,0,1
53,53_A,53_A_B,Semelparous,S3,S3_2,Not cold stratified,0,0,8,0,1,0
53,53_A,53_A_C,Semelparous,S1,S1_4,Cold stratified,0,10,0,0,0,0
53,53_A,53_A_D,Semelparous,S2,S2_9,Cold stratified,0,10,0,0,0,0
53,53_A,53_A_E,Iteroparous,I1,I1_14,Not cold stratified,-0.5,9,1,0,0,0
53,53_B,53_B_A,Iteroparous,I3,I3_13,Not cold stratified,0,1,0,0,0,6
54,54_A,54_A_A,Semelparous,S2,S2_9,Not cold stratified,-0.5,0,9,0,1,0
54,54_B,54_B_A,Iteroparous,I1,I1_4,Not cold stratified,0,10,0,0,0,0
